1,350,5
1,571,5
1,612,5
1,238,2
1,399,4
1,576,2
1,611,2
1,449,4
1,728,5
1,823,5
1,99,3
1,85,2
2,147,1
2,327,5
2,213,3
2,374,5
2,218,2
2,151,5
2,469,1
2,407,1
2,666,4
2,215,4
2,544,1
2,66,1
2,434,2
2,257,2
2,830,5
2,568,5
3,851,3
3,212,1
3,965,3
3,812,4
3,927,4
3,678,4
3,898,2
3,82,4
4,839,4
4,373,1
4,63,5
4,70,4
4,728,4
4,43,1
4,549,5
4,472,3
4,983,4
5,970,1
5,94,1
5,786,5
5,136,5
5,641,1
5,444,4
5,538,2
6,949,5
6,185,1
6,789,2
6,733,5
6,848,3
6,239,5
6,30,5
6,660,4
6,554,2
6,846,3
6,869,2
6,712,4
7,823,1
7,589,1
7,749,3
7,156,2
7,598,5
7,505,5
7,323,1
7,681,3
7,236,1
7,342,2
7,990,5
8,52,3
8,808,1
8,554,1
8,569,4
8,286,3
8,202,1
8,37,3
9,575,3
9,570,2
9,676,5
9,812,2
9,865,2
9,219,1
9,416,5
9,728,4
9,837,2
9,413,2
9,122,2
9,599,3
9,972,5
10,919,3
10,507,4
10,200,2
10,544,2
10,589,2
10,542,5
10,131,5
10,489,5
10,156,4
10,21,5
10,976,1
10,893,2
10,969,3
11,155,5
11,796,1
11,543,1
11,89,3
11,560,3
11,854,3
11,510,5
11,837,2
11,210,5
11,695,5
11,84,5
11,122,1
11,446,5
11,730,2
11,682,4
11,998,4
11,354,1
11,158,1
11,815,1
11,561,2
12,93,3
12,326,3
12,92,1
12,412,1
12,316,4
12,553,5
12,947,1
12,994,4
12,749,4
12,592,5
12,886,4
12,555,4
12,262,5
12,857,1
12,422,3
12,971,4
12,233,4
12,155,5
12,117,4
12,572,2
13,220,4
13,461,4
13,297,2
13,423,2
13,224,1
13,447,3
13,261,4
13,247,4
13,980,3
13,945,2
13,666,5
14,354,1
14,116,4
14,66,2
14,541,2
14,692,4
14,684,4
14,843,3
14,938,3
15,305,4
15,591,2
15,418,1
15,757,2
15,715,4
16,786,5
16,506,3
16,175,2
16,247,4
16,33,4
16,19,1
16,209,2
16,421,4
16,526,1
16,344,5
16,717,3
16,458,5
16,400,2
16,126,4
16,404,1
16,721,4
17,623,3
17,819,2
17,767,1
17,761,5
17,699,1
17,41,3
17,11,1
17,363,3
17,25,5
17,359,3
17,367,5
17,953,3
17,74,2
17,626,3
18,956,2
18,276,2
18,55,3
18,295,4
18,230,2
18,805,3
19,246,3
19,207,1
19,485,5
19,934,5
19,713,3
19,889,3
19,4,3
20,915,2
20,514,2
20,414,5
20,74,1
20,561,3
20,507,5
20,5,5
20,574,1
20,40,2
20,973,3
20,117,3
20,559,5
20,949,5
20,484,1
20,517,5
20,135,4
20,822,3
20,406,4
20,53,2
21,433,4
21,389,5
21,641,2
21,734,4
21,100,3
21,111,4
21,984,2
21,725,1
21,860,2
21,820,5
21,294,4
21,829,5
21,249,5
21,269,3
21,310,2
22,418,4
22,394,5
22,783,3
22,330,4
22,479,1
22,15,1
22,541,2
22,723,2
22,210,4
22,468,5
22,565,2
22,790,4
22,290,1
22,163,2
22,42,1
22,746,4
22,13,4
22,774,4
22,616,2
22,445,5
23,238,5
23,418,1
23,694,1
23,202,4
23,669,2
23,905,3
23,511,1
23,879,1
23,342,5
23,283,4
23,205,5
23,783,1
23,936,5
23,614,5
23,662,4
23,594,1
23,502,3
23,862,2
23,267,1
24,537,3
24,16,4
24,560,1
24,251,4
24,446,5
25,592,4
25,219,2
25,572,5
25,169,3
25,17,2
25,211,2
25,148,4
25,168,2
25,936,3
25,569,5
25,316,1
25,707,2
25,232,2
25,131,1
25,797,5
25,71,3
25,773,3
25,423,4
26,840,3
26,641,2
26,865,4
26,217,3
26,93,1
26,451,4
